question,answer,region,channel,issue
(1) How do I handle reset password via the web app?,"For reset password on the web app, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,web app,reset password
(2) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,mobile app,billing discrepancy
(3) How do I handle upgrade plan via the email?,"For upgrade plan on the email, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,email,upgrade plan
(4) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,chat,downgrade plan
(5) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,phone (enterprise),cancel subscription
(6) How do I handle update payment method via the web app?,"For update payment method on the web app, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,web app,update payment method
(7) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,mobile app,two-factor auth
(8) How do I handle shipping delay via the email?,"For shipping delay on the email, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,email,shipping delay
(9) How do I handle return request via the chat?,"For return request on the chat, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,chat,return request
(10) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,phone (enterprise),account locked
(11) How do I handle reset password via the web app?,"For reset password on the web app, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,web app,reset password
(12) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,mobile app,billing discrepancy
(13) How do I handle upgrade plan via the email?,"For upgrade plan on the email, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,email,upgrade plan
(14) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,chat,downgrade plan
(15) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,phone (enterprise),cancel subscription
(16) How do I handle update payment method via the web app?,"For update payment method on the web app, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,web app,update payment method
(17) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,mobile app,two-factor auth
(18) How do I handle shipping delay via the email?,"For shipping delay on the email, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,email,shipping delay
(19) How do I handle return request via the chat?,"For return request on the chat, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,chat,return request
(20) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,phone (enterprise),account locked
(21) How do I handle reset password via the web app?,"For reset password on the web app, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,web app,reset password
(22) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,mobile app,billing discrepancy
(23) How do I handle upgrade plan via the email?,"For upgrade plan on the email, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,email,upgrade plan
(24) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,chat,downgrade plan
